"filename", "language", "MS SQL", "JSON with Comments", "Markdown", "Python", "Dotenv", "PHP", "JSON", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/tordjman/Documents/prognoz.fr/public/assets/js/match-effects.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 7, 47
"/home/tordjman/Documents/prognoz.fr/public/assets/js/notifications.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 386, 0, 0, 38, 424
"/home/tordjman/Documents/prognoz.fr/public/assets/js/point-toast.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 15, 148
"/home/tordjman/Documents/prognoz.fr/public/assets/js/predictions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 588, 0, 3, 61, 652
"/home/tordjman/Documents/prognoz.fr/public/assets/js/site-notifications.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 5, 37, 258
"/home/tordjman/Documents/prognoz.fr/public/assets/js/theme-time.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"/home/tordjman/Documents/prognoz.fr/public/auth/forgot-password.php", "PHP", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 68
"/home/tordjman/Documents/prognoz.fr/public/auth/login.php", "PHP", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 8, 78
"/home/tordjman/Documents/prognoz.fr/public/auth/logout.php", "PHP", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"/home/tordjman/Documents/prognoz.fr/public/auth/register.php", "PHP", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 9, 104
"/home/tordjman/Documents/prognoz.fr/public/auth/reset-password.php", "PHP", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 5, 75
"/home/tordjman/Documents/prognoz.fr/public/communities.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/communities/index.php", "PHP", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 15, 129
"/home/tordjman/Documents/prognoz.fr/public/communities/invite.php", "PHP", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 16, 130
"/home/tordjman/Documents/prognoz.fr/public/communities/view.php", "PHP", 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 1, 29, 334
"/home/tordjman/Documents/prognoz.fr/public/community.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/confidentialite.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/dashboard.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/index.php", "PHP", 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 32, 404
"/home/tordjman/Documents/prognoz.fr/public/invite.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/legal/cgu.php", "PHP", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 13, 89
"/home/tordjman/Documents/prognoz.fr/public/legal/comment-ca-marche.php", "PHP", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"/home/tordjman/Documents/prognoz.fr/public/legal/confidentialite.php", "PHP", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 16, 152
"/home/tordjman/Documents/prognoz.fr/public/login.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/logout.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/maintenance.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"/home/tordjman/Documents/prognoz.fr/public/register.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/robots.php", "PHP", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"/home/tordjman/Documents/prognoz.fr/public/sitemap.php", "PHP", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"/home/tordjman/Documents/prognoz.fr/public/sw-notifications.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 1, 9, 81
"/home/tordjman/Documents/prognoz.fr/schema.sql", "MS SQL", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 18, 229
"/home/tordjman/Documents/prognoz.fr/scripts/encrypt_sensitive_data.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 9, 58
"/home/tordjman/Documents/prognoz.fr/sql/migrate_encryption.sql", "MS SQL", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 18
"/home/tordjman/Documents/prognoz.fr/tools/admin_console/README.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 14, 44
"/home/tordjman/Documents/prognoz.fr/tools/admin_console/config.example.env", "Dotenv", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 4, 19
"/home/tordjman/Documents/prognoz.fr/tools/admin_console/prognoz_admin.py", "Python", 0, 0, 0, 1107, 0, 0, 0, 0, 0, 0, 5, 135, 1247
"/home/tordjman/Documents/prognoz.fr/tools/admin_console/prognoz_crypto.py", "Python", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"/home/tordjman/Documents/prognoz.fr/tools/admin_console/prognoz_db.py", "Python", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 434, 25, 721
"/home/tordjman/Documents/prognoz.fr/tools/admin_console/prognoz_ops.py", "Python", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 19, 16, 160
"/home/tordjman/Documents/prognoz.fr/tools/diagnose_results.php", "PHP", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 6, 10, 122
"/home/tordjman/Documents/prognoz.fr/tools/generate_admin_credentials.php", "PHP", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 9, 51
"/home/tordjman/Documents/prognoz.fr/tools/generate_vapid.php", "PHP", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 5, 13, 94
"/home/tordjman/Documents/prognoz.fr/tools/ops_terminal.php", "PHP", 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 11, 23, 343
"/home/tordjman/Documents/prognoz.fr/tools/prepare_season_reset.php", "PHP", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 8, 15, 113
"/home/tordjman/Documents/prognoz.fr/tools/prune_db.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 3, 27
"/home/tordjman/Documents/prognoz.fr/tools/resolve_results.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 6, 41
"/home/tordjman/Documents/prognoz.fr/tools/sync_matches.php", "PHP", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 7, 43
"Total", "-", 335, 7, 174, 1520, 10, 10635, 1237, 32, 1622, 4077, 1076, 2569, 23294
